,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
18497,1.1741209563155905,1.1364009821192695,1.2102994780604952,1.1570284976537657,1.0187844457065935,1.0229956899438895,0.9708930744104052,0.9451365882827911
18498,1.0,1.0964464456745482,1.0,1.1123084779972556,1.191014316019686,1.0,0.9568440485473282,0.9108009168950497
18499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18502,1.2582518147468122,1.2083367976164205,1.3107096682097352,1.2786899193518604,1.1907205106671483,1.2276706598445584,1.2168386497838344,1.2191186731924866
18503,1.0,1.0,1.0,1.0,1.7647704463141771,1.0,1.0,1.0
18504,1.8851064061682652,2.3848808781889392,1.8133903947076115,2.2313479844156205,2.4775079221360627,1.7726184221487498,2.250090883731861,1.921404553023491
18505,1.0185526380989982,0.6884282441205478,1.21969946749876,0.856303877247079,0.4132091864851759,0.9986250292867154,0.6493692053989548,0.9299298401922407
18506,1.4101507967336846,1.5770502910794768,1.4140081508967657,1.5881444193203222,1.7045319353528399,1.353700609768184,1.502820469356374,1.6277835141153068
18507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18510,0.49341448487850514,0.2877569757491507,0.661146264378119,0.6216942336807243,0.868506350629545,0.5194387098516517,0.3800038255293958,0.741991419662039
18511,1.0,0.3619350474114409,1.0,0.3993846224081823,0.057445950757418984,1.0,0.29887577411577837,0.2858833305353605
18512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
