,area,prior_other_anth,prior_wastewater,prior_coal,prior_landfills,prior_livestock,prior_ong,prior_total,post_other_anth,post_wastewater,post_coal,post_landfills,post_livestock,post_ong,post_mean,post_min,post_max,xhat_mean,xhat_min,xhat_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop,epa_total,epa_livestock,epa_ong,epa_coal,epa_landfills,epa_wastewater,epa_other_anth,post_mean_pc
Tennessee,109280.64084198751,8.421801353155097,22.56162180973148,2.9548167818032,155.7749798363924,135.68968579010095,38.36127406901575,363.76417964019885,7.361408839155905,19.508974893422256,2.3687132206890125,131.9282532811742,121.64490813402016,39.65068468716884,322.4629430556303,301.4915290886859,349.12690970324786,0.8864615074925195,0.8288103831083447,0.9597616512119781,-41.3012365845685,-62.272650551512925,-14.637269936950986,0.5893997449994997,0.42255128705728395,0.7743644384914048,6829174,327.31880096428574,131.6658675357143,53.33662639285714,1.7431300714285716,115.51817357142858,15.496528,9.558475357142857,4.721844004203588e-05
Montana,380284.42003316636,2.747725578044814,0.6763142911084071,19.942159964192967,18.70828832980477,211.69777850747352,69.61113595225187,323.38340262287636,2.718019473256257,0.6756632868754371,10.415895703320531,18.71237718903989,211.08543322483786,62.75493282313331,306.36232170046327,291.8921067739415,322.09122182785364,0.9473656322978865,0.9026193193790487,0.9960041833175661,-17.021080922413077,-31.49129584893484,-1.2921807950227162,0.2978773405294677,0.2263995900505305,0.3820943220464464,1068778,333.4179755,214.65000189285712,75.94782682142856,19.99017757142857,13.311863071428574,1.6413050357142855,7.876801035714285,0.0002866472941064124
North Dakota,182822.71916501742,2.363649211786341,1.5245160782212621,5.5744011832116245,24.68243200909744,123.00922562189345,136.81515190106876,293.96937600527883,2.3821403221937643,1.5286333045759666,5.867596270331886,25.542081228456276,123.76613755230706,140.6894068020136,299.77599547987853,286.23333602059074,317.4980681629455,1.019752463856968,0.973684197688166,1.0800379021699327,5.806619474599685,-7.736039984688091,23.528692157666683,0.5798142236801631,0.4671870734636774,0.7002677023766176,762062,307.07611903571427,135.58424860714285,143.48071957142858,5.313994500000001,18.27878196428571,1.5347498214285713,2.883624535714286,0.00039337481134065015
Washington,183739.4510127528,13.182384604523659,13.288864229403167,0.0,83.96062438524905,142.85004699999183,19.690198795648605,272.97211901481637,13.010508313305584,13.6286734976651,0.0,97.515335426735,148.90163226505433,20.158025251513642,293.2141747542737,269.1131560552935,336.7170919415281,1.0741542975616443,0.9858631607746231,1.233521918490334,20.2420557394573,-3.8589629595228985,63.74497292671174,0.08897029569546448,0.04824596590706404,0.13992342124896526,7614893,283.61251692857144,147.28777485714286,25.584587714285714,0.0,71.01982949999999,18.224232750000002,21.496092107142854,3.850535716710316e-05
Utah,219962.34016571118,2.6200244965522828,0.25629743297142105,118.80661845468923,50.53295846967443,102.03247842090825,134.039986536318,408.2883638111136,2.5664835989335724,0.2370871682014892,79.1574389845093,49.10119474616181,104.97422260605855,48.73051982139223,284.766946925257,248.30038190700753,336.4680431418718,0.6974652529088452,0.6081495431054673,0.8240941279862974,-123.52141688585662,-159.98798190410605,-71.82032066924177,0.719315418396411,0.5863683767632124,0.8682881355560991,3205958,292.21572646428575,91.82047585714285,129.27444682142857,27.83160967857143,32.06699542857143,5.772680142857143,5.449518535714286,8.882429118698903e-05
Oregon,254233.5598209197,7.504714788871169,2.4810112788264846,0.0,87.14695245783722,125.94276176210224,17.81228830158416,240.88772858922124,7.83761198790933,2.532787308045612,0.0,111.09901480294744,131.50980975881293,22.648238741377256,275.6274625990925,255.79082353085977,303.8790312946278,1.144215457604783,1.0618673895466562,1.2614965198697348,34.73973400987127,14.903094941638528,62.991302705406554,0.07506314108088766,0.05463299040532085,0.1062674403172992,4217737,217.3986714642857,114.69464242857143,23.98252325,0.0,56.392946178571435,8.37720575,13.951353857142855,6.534960871175526e-05
Arizona,295655.1020453531,3.5056489333370044,4.230881186952048,1.9149304026028906,85.6769154928997,141.91689153495065,41.28795116072013,278.53321871146244,3.134214758969788,4.287681931445842,1.9149304026028906,71.95663185049507,141.07524308025685,40.680274088441934,263.04897611221236,260.8241553118579,265.6265438149778,0.9444079141766912,0.9364202823579558,0.9536619906372644,-15.48424259925006,-17.70906339960453,-12.906674896484617,0.7890440606932353,0.7422053258309972,0.8398438018822123,7278717,258.741457,120.61448814285716,49.10938225000001,0.9859558214285714,70.39866496428571,11.324445571428571,6.308520214285715,3.613947019951625e-05
South Carolina,82629.41403048573,5.921350762122073,15.579260871870387,0.0,102.31156158395204,42.39154100317723,9.095399442390962,175.29911366351266,7.892425746393202,20.831489300560605,0.0,144.77852018925577,52.70588261000612,11.171363407770807,237.37968125398652,219.71394011122305,248.9740345073969,1.3541407956553493,1.2533659498870304,1.4202811942637859,62.080567590473876,44.4148264477104,73.67492084388425,0.5459981680718173,0.39835946154620416,0.6994356895087896,5148714,152.89103257142855,37.386206321428574,26.15544375,0.0,68.20743517857143,12.791773714285714,8.350173607142857,4.6104654726206686e-05
New Jersey,22529.27345466873,18.55862110375094,20.831243089968723,0.0,73.66614004581658,3.8722813624121954,34.4834679723633,151.41175357431175,27.306311439589326,35.273282287266376,0.0,115.71737308610005,4.423024033838806,50.70833185915374,233.4283227059483,186.4081393936823,294.25571958003906,1.5416790123323119,1.2311338782705175,1.9434139862571538,82.01656913163656,34.996385819370545,142.8439660057273,0.2779223056715801,0.0980789638473053,0.5228292103825115,8882190,130.72517275,3.8324099285714293,44.790387714285714,0.0,58.20998053571429,13.08963232142857,10.80276225,2.6280491940157585e-05
Maryland,32124.1444441989,8.223844184852906,5.114096885694808,3.8576890502865524,59.926853818955415,27.344791441101837,20.481674079467577,124.9489494603591,7.395586936878898,4.286652039453574,4.440853439820496,56.56558617317495,27.58639490328757,19.534894503238867,119.80996799585438,111.57052041841524,126.4993050915014,0.9588713511662208,0.8929288393401958,1.0124079124941676,-5.138981464504731,-13.37842904194386,1.5503556311422955,0.2656330125802405,0.1005525075000333,0.446114210109824,6045680,110.24653064285715,23.35010767857143,18.525142678571427,2.3960751785714285,44.784131571428574,13.168566071428573,8.022507464285715,1.9817451137978588e-05
Nevada,286473.6031356389,1.916116840963698,1.779084956372601,0.0,30.040446984869572,49.209661381222844,9.304913912102862,92.25022407553158,1.9172246967410758,1.7807442745769473,0.0,30.38749544038219,49.417304710959314,9.386688085054043,92.88945720771358,92.67219875212355,93.10784447997835,1.00692933961503,1.004574240125926,1.0092966755695312,0.6392331321819942,0.4219746765919723,0.8576204044467772,0.0013268707260460763,0.0009080734916885444,0.0018742358246138235,3080156,88.82400207142858,45.49933046428571,19.710866321428572,0.0,16.932262178571428,3.5840786785714287,3.0974644285714286,3.0157387225748817e-05
Massachusetts,26608.395742806322,8.057018276358136,5.610663172038922,0.0,54.63549690161962,4.935302793791228,20.14798484232054,93.38646598612844,6.7964947077197175,4.166955784956934,0.0,48.17213728468357,4.440062002082334,16.860736585355294,80.43638636479784,66.43417735189594,92.56362898625089,0.8613280898406179,0.7113897784906437,0.9911889052531468,-12.950079621330595,-26.952288634232502,-0.822836999877552,0.15291596586264788,0.01813406631802389,0.35384854773820434,6892503,78.63247303571428,3.8723862857142852,29.42570414285714,0.0,25.009046964285712,10.924496000000001,9.400839642857141,1.1670127146088705e-05
