,area,prior_landfills,prior_wastewater,prior_ong,prior_livestock,prior_coal,prior_other_anth,prior_total,prior_gasdist,post_mean,post_min,post_max,post_hr_mean,post_hr_min,post_hr_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop_2010,pop_2000,prior_postmeter,xhat_mean,xhat_min,xhat_max,post_mean_pc
"Rockford, IL",2860.8358786721237,21.130992372579435,0.5061233400179347,0.591008067521596,4.436069445478658,0.0,0.5944975584807389,28.497069713847317,0.7960005541409139,49.25655946526285,34.01791137358824,53.9911520827945,41.972966184254204,25.90399008381387,47.61472218427519,21.20186812704358,5.963220035368966,25.936460744575225,0.3042405114431424,0.14196028033138464,0.5790154475368336,296863,270414,0.4423783756280419,1.7284780491422973,1.1937336615721663,1.8946211882465613,0.00016592353868708076
"Peoria, IL",4396.1569222284825,14.972838663255668,0.5121403676444831,0.002985101297284097,3.7992265743975837,0.0,0.5594426119382059,20.81408885992555,0.5696960415522927,48.99844019563386,43.43471436777463,54.77657455099339,41.61890760010661,37.26604820445931,46.418827768828876,28.582110835548345,23.018385007689115,34.360245190907875,0.21329434415491963,0.1243967911472919,0.3341069491608698,266921,247172,0.3977594998400359,2.354099693019621,2.0867939336706565,2.631706577195295,0.0001835690717314631
"San Francisco--Oakland, CA",4891.0595136883885,24.47446904254485,13.800512244734916,0.5693820730259549,6.964779809485622,0.0,6.736737186970013,60.897668224885024,3.4622016460237783,69.42212692615215,58.595627877567495,87.1162654690665,40.27592216538001,35.17966535051195,49.409961381155945,13.41404492336702,2.587545874782357,31.108183466281368,0.28054414107504083,0.17017554077232505,0.4214838956956814,3281212,3228605,4.8895862220998865,1.1399800509567577,0.9621982185127931,1.4305353227542397,2.1157464658227552e-05
"San Antonio, TX",6732.167951585622,22.174486327326022,6.15173148488497,11.257847150196197,7.179397817088473,0.0,1.7943382703101127,56.58203382731564,5.404188906050711,50.57715804692779,38.27522534565307,63.324526589991756,36.534971789446736,27.648801053359378,45.61546220804091,-3.38483190892869,-15.686764610203419,9.362536634135267,0.3114337612266148,0.2271645090180546,0.4238935581178764,1758210,1327554,2.6200438714591563,0.8938731011558493,0.6764554533770621,1.1191631390142978,2.8766278230090712e-05
"Sacramento, CA",6044.782845579892,25.65499239902701,1.9965892666416718,0.2950775230840689,14.528748303866799,0.0,15.350634357787975,62.65615986894098,2.2615985024695946,66.60269610509275,64.29341389247104,70.89850303007148,36.3862277368177,34.89884572720926,40.624925451506414,6.515055752215616,4.205773539593913,10.810862677194358,0.5052409534488282,0.3503014875259965,0.7032100609173663,1723634,1393498,2.5685195160638554,1.0629872026055667,1.0261307751217874,1.1315488082635634,3.864085769083967e-05
"Charlotte, NC--SC",5028.00325681238,14.654720168254372,1.0557898250678794,5.041212674141592,7.093541248573024,0.0,1.7332922443641108,32.30823686266015,0.8677911356865419,50.02873484584862,42.40690768408752,58.90996549767564,33.19699979871657,27.616780857330305,40.42218590353967,19.5823875497611,11.960560388000005,28.463618201588126,0.3737872942762072,0.2295410438354045,0.556360341122934,1249442,758927,1.861889566572634,1.548482359421746,1.312572637880428,1.8233729605269828,4.004086211752816e-05
"Minneapolis--St. Paul, MN--WI",8215.62751995234,15.878571060261967,2.2444326265443038,2.0790202278878556,10.14938069449832,0.0,5.238653574536977,43.97439670652861,4.434043564624474,53.035126967439396,42.02977928938398,70.00131642708563,30.074468477402363,23.676787690077557,39.85788189464057,13.011025219085502,2.0056775410300887,29.977214678731734,0.22408603811171862,0.1375173925812799,0.3370965703045842,2650890,2388593,3.9502949581747133,1.2060455842380118,0.9557784173794948,1.591865305037669,2.0006536283074512e-05
"Phoenix--Mesa, AZ",9757.704700452041,28.933288111992688,2.444483300098173,0.05334894194316004,21.728208712320335,0.0,2.023987715320577,62.710929013116825,2.1195904965372874,43.480864818815185,40.239748583429346,46.609734661014215,29.1722018193294,27.17640747107037,31.285849048136868,-13.822042459397032,-17.06315869478287,-10.693172617198002,0.7799567075666318,0.6910603464671873,0.8805370079748012,3629114,2907049,5.4080217349046045,0.6933538619675141,0.6416704267770084,0.7432473955419344,1.1981123993022866e-05
"El Paso, TX--NM",4109.950424068166,7.100158156418893,2.1042353489509695,0.08801000610658538,4.60017465638354,0.0,0.49964866885023074,17.057007289303748,1.468040272208563,14.762443346195179,12.680665179755682,17.521385179476525,28.2729505864635,26.705822618337592,31.16066860531489,-1.0978237627236045,-3.179601929163102,1.661118070557741,0.43725744617084666,0.34495796994688943,0.5222672535411749,803086,674801,1.1967401803849644,0.8654767566085604,0.7434284903957086,1.027225050813221,1.8382145058182037e-05
"Oklahoma City, OK",3522.811625671681,17.414978630539355,0.7123648062660747,13.239909738159126,4.51780852516696,0.0,1.2442626224752922,42.08502338022881,3.67190423477296,59.43547592113252,49.04644458178665,71.49345537654963,27.24612892907721,19.303249298069826,32.436436008814624,18.634247363752756,8.245216024406886,30.692226819169868,0.5108514707725085,0.3310335698637929,0.7542846371222272,861505,747003,1.2837948228490457,1.412271424543269,1.1654132668209056,1.69878616273115,6.899028551329652e-05
